n,time,c,E,h,u,M,tau,slope,Rep,H_Pex,L_Pex,PP_Pex,Pmax,Pmin,D
0,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261799,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,0.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261799,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20,0.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261799,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
30,0.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261799,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
40,0.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261799,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
50,0.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261799,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
60,0.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261799,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
70,0.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261799,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
80,0.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261799,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90,0.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261799,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
100,1.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261799,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
110,1.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261799,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
120,1.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261799,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
130,1.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261799,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
140,1.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261799,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
150,1.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261799,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
160,1.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261799,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
170,1.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261799,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
180,1.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261799,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
190,1.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261799,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
200,2.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261799,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
210,2.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261799,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
220,2.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261799,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
230,2.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261799,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
240,2.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261799,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
250,2.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261799,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
260,2.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261799,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
270,2.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261799,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
280,2.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261799,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
290,2.9000,0.000002,0.000000,0.174502,67.812625,11.833423,0.000000,0.261799,0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.174502,0.000000
300,3.0000,0.000002,0.000000,1.260836,203.942917,257.138514,745.244846,0.261799,0.000000,-0.000000,-0.000000,-0.000000,0.000004,-1.260836,0.000000
310,3.1000,0.000002,0.000000,1.734866,211.380759,366.717360,662.090156,0.261799,0.000000,-0.000000,-0.000000,-0.000000,0.000005,-1.734866,0.000000
320,3.2000,0.000002,0.000000,1.972948,213.691587,421.602464,628.163046,0.261799,0.000000,-0.000000,-0.000000,-0.000000,0.000006,-1.972948,0.000000
330,3.3000,0.000002,0.000000,2.102694,214.901209,451.871558,612.671364,0.261799,0.000000,-0.000000,-0.000000,-0.000000,0.000007,-2.102694,0.000000
340,3.4000,0.000002,0.000000,2.174947,215.581620,468.878557,604.872101,0.261799,0.000000,-0.000000,-0.000000,-0.000000,0.000007,-2.174947,0.000000
350,3.5000,0.000002,0.000000,2.215773,216.004284,478.616528,600.803258,0.261799,0.000000,-0.000000,-0.000000,-0.000000,0.000007,-2.215773,0.000000
360,3.6000,0.000002,0.000000,2.239634,216.322943,484.484201,599.804365,0.261799,0.000000,-0.000000,-0.000000,-0.000000,0.000007,-2.239634,0.000000
370,3.7000,0.000001,0.000000,2.254140,216.668452,488.400981,602.663821,0.261799,0.000000,-0.000000,-0.000000,-0.000000,0.000005,-2.254140,0.000000
