n,time,c,E,h,u,M,tau,slope,Rep,H_Pex,L_Pex,PP_Pex,Pmax,Pmin,D
380,3.8000,0.000001,0.000000,2.250587,217.601594,489.731301,612.038802,0.261799,0.000000,-0.000000,-0.000000,-0.000000,0.000003,-2.250587,0.000000
390,3.9000,0.000014,0.000000,2.135741,222.967843,476.201486,622.621341,0.261799,0.000000,-0.000000,-0.000000,-0.000000,0.000050,-2.135741,0.000000
400,4.0000,0.194317,0.000000,1.791121,233.920854,418.980622,494.163248,0.261799,0.000000,-0.000000,-0.000000,-0.000000,0.574274,-1.791121,0.000000
410,4.1000,0.206245,0.000000,1.636643,238.857891,390.925074,527.099708,0.261799,0.000000,-0.000000,-0.000000,-0.000000,0.556956,-1.636643,0.000000
420,4.2000,0.203724,0.000000,1.566342,241.479044,378.238702,527.293881,0.261799,0.000000,-0.000000,-0.000000,-0.000000,0.526517,-1.566342,0.000000
430,4.3000,0.202623,0.000000,1.537378,242.617411,372.994587,528.274004,0.261799,0.000000,-0.000000,-0.000000,-0.000000,0.513987,-1.537378,0.000000
440,4.4000,0.202199,0.000000,1.526343,243.067291,371.003982,528.828330,0.261799,0.000000,-0.000000,-0.000000,-0.000000,0.509231,-1.526343,0.000000
450,4.5000,0.202050,0.000000,1.522399,243.233934,370.299152,529.066189,0.261799,0.000000,-0.000000,-0.000000,-0.000000,0.507542,-1.522399,0.000000
460,4.6000,0.202003,0.000000,1.521099,243.290326,370.068628,529.154769,0.261799,0.000000,-0.000000,-0.000000,-0.000000,0.506989,-1.521099,0.000000
470,4.7000,0.201990,0.000000,1.520762,243.300037,370.001538,529.168016,0.261799,0.000000,-0.000000,-0.000000,-0.000000,0.506844,-1.520762,0.000000
480,4.8000,0.201980,0.000000,1.521081,243.194176,369.917959,530.324033,0.244783,0.000000,-0.000000,-0.000000,-0.000000,0.506927,-1.521081,0.000000
490,4.9000,0.201964,0.000000,1.523398,242.777151,369.846122,531.434431,0.216848,0.000000,-0.000000,-0.000000,-0.000000,0.507657,-1.523398,0.000000
500,5.0000,0.199561,-0.922880,1.511689,243.916913,368.726561,529.748932,0.190753,10.341927,0.009094,0.086579,0.005521,0.497762,-1.511689,0.015948
510,5.1000,0.196851,-1.231396,1.481042,245.827928,364.081468,530.319278,0.187583,13.845925,0.014493,0.162094,0.006994,0.481049,-1.481042,0.128965
520,5.2000,0.196485,-1.287212,1.478764,245.755908,363.415063,529.640699,0.187091,14.480118,0.015620,0.179001,0.007269,0.479416,-1.478764,0.255240
530,5.3000,0.195513,-1.190615,1.478923,245.912915,363.686370,527.456754,0.186785,13.409684,0.013545,0.148300,0.006649,0.477095,-1.478923,0.384241
540,5.4000,0.192956,-1.090999,1.455729,247.410514,360.162634,527.300069,0.185362,12.326776,0.011290,0.117114,0.005822,0.463472,-1.455729,0.494607
550,5.5000,0.192296,-1.119980,1.449114,247.643166,358.863261,527.172849,0.184767,12.664582,0.011722,0.123306,0.005903,0.459786,-1.449114,0.605182
560,5.6000,0.192036,-1.135879,1.448414,247.492102,358.471084,526.414907,0.184511,12.848482,0.011992,0.127108,0.005965,0.458945,-1.448414,0.718030
570,5.7000,0.190452,-1.006056,1.445989,247.960446,358.548063,524.070165,0.183884,11.402309,0.009615,0.094797,0.005177,0.454397,-1.445989,0.826459
580,5.8000,0.189256,-0.993788,1.432140,248.598491,356.027848,524.611724,0.183065,11.279909,0.009264,0.090505,0.004994,0.447217,-1.432140,0.925985
590,5.9000,0.188738,-1.003259,1.427805,248.707300,355.105522,524.361550,0.182648,11.394680,0.009362,0.091887,0.004995,0.444645,-1.427805,1.025808
600,6.0000,0.188481,-1.010407,1.427005,248.587031,354.735040,523.697131,0.182428,11.479492,0.009458,0.093180,0.005012,0.443791,-1.427005,1.126504
610,6.1000,0.187452,-0.930115,1.428567,248.714471,355.305315,521.504906,0.181993,10.580676,0.008168,0.076541,0.004563,0.441851,-1.428567,1.224206
620,6.2000,0.186473,-0.907288,1.418377,249.114979,353.339064,521.696720,0.181365,10.333448,0.007731,0.071283,0.004367,0.436406,-1.418377,1.315809
630,6.3000,0.185926,-0.906720,1.413473,249.263558,352.327250,521.619149,0.180964,10.333926,0.007673,0.070657,0.004321,0.433622,-1.413473,1.406437
640,6.4000,0.185624,-0.909619,1.412026,249.205652,351.884747,521.104164,0.180727,10.370810,0.007694,0.070949,0.004314,0.432474,-1.412026,1.497247
650,6.5000,0.185200,-0.881105,1.413721,249.171999,352.259586,519.881270,0.180525,10.050942,0.007280,0.065834,0.004162,0.432004,-1.413721,1.587846
660,6.6000,0.184399,-0.844833,1.411691,249.185421,351.772709,518.536824,0.180074,9.646661,0.006740,0.059368,0.003947,0.429518,-1.411691,1.673892
670,6.7000,0.183752,-0.831588,1.405029,249.405214,350.421680,518.702080,0.179648,9.502941,0.006509,0.056727,0.003836,0.425993,-1.405029,1.757605
680,6.8000,0.183355,-0.829213,1.402184,249.442141,349.763720,518.433785,0.179361,9.480423,0.006450,0.056082,0.003799,0.424210,-1.402184,1.840608
690,6.9000,0.183104,-0.829400,1.401228,249.365574,349.418129,517.925043,0.179171,9.485470,0.006439,0.055970,0.003785,0.423341,-1.401228,1.923532
700,7.0000,0.182722,-0.804835,1.403480,249.317632,349.912219,516.697867,0.178983,9.208844,0.006118,0.052198,0.003662,0.423136,-1.403480,2.005867
710,7.1000,0.182171,-0.782931,1.402582,249.204574,349.529931,515.461482,0.178656,8.964247,0.005820,0.048790,0.003536,0.421591,-1.402582,2.085239
720,7.2000,0.181643,-0.769145,1.397449,249.331767,348.428543,515.485324,0.178316,8.812100,0.005613,0.046506,0.003439,0.418830,-1.397449,2.162783
730,7.3000,0.181277,-0.764244,1.394864,249.356476,347.818298,515.239130,0.178062,8.759861,0.005531,0.045627,0.003395,0.417214,-1.394864,2.239419
740,7.4000,0.181029,-0.762627,1.393838,249.295009,347.476857,514.791438,0.177881,8.743967,0.005500,0.045292,0.003375,0.416337,-1.393838,2.315753
750,7.5000,0.180801,-0.754280,1.394120,249.227927,347.453576,514.130937,0.177741,8.650683,0.005394,0.044108,0.003329,0.415895,-1.394120,2.391904
760,7.6000,0.180409,-0.735131,1.397105,249.037889,347.932156,512.495497,0.177521,8.435096,0.005168,0.041575,0.003236,0.415884,-1.397105,2.466240
770,7.7000,0.179974,-0.720417,1.393681,249.037331,347.078709,512.163555,0.177251,8.270650,0.004974,0.039486,0.003146,0.413862,-1.393681,2.539038
780,7.8000,0.179597,-0.711592,1.390605,249.076965,346.367570,512.019501,0.177002,8.173097,0.004852,0.038207,0.003086,0.412085,-1.390605,2.610602
790,7.9000,0.179325,-0.707709,1.389158,249.045280,345.963345,511.667679,0.176812,8.131185,0.004796,0.037621,0.003056,0.411034,-1.389158,2.681552
800,8.0000,0.179126,-0.705727,1.388560,248.966219,345.704637,511.215460,0.176668,8.110378,0.004766,0.037312,0.003039,0.410400,-1.388560,2.752220
810,8.1000,0.178891,-0.694188,1.389842,248.918865,345.957889,510.440635,0.176536,7.980061,0.004637,0.035915,0.002983,0.410240,-1.389842,2.822480
820,8.2000,0.178609,-0.684102,1.391919,248.679152,346.141274,509.051439,0.176360,7.866807,0.004526,0.034724,0.002934,0.410206,-1.391919,2.891398
830,8.3000,0.178265,-0.672284,1.389319,248.643040,345.444559,508.718478,0.176147,7.734147,0.004382,0.033235,0.002865,0.408651,-1.389319,2.959244
840,8.4000,0.177953,-0.664219,1.386981,248.644957,344.865712,508.512351,0.175942,7.644260,0.004281,0.032212,0.002815,0.407250,-1.386981,3.026047
850,8.5000,0.177715,-0.659980,1.385806,248.602201,344.514491,508.162875,0.175778,7.597682,0.004227,0.031666,0.002786,0.406359,-1.385806,3.092246
860,8.6000,0.177531,-0.657485,1.385279,248.526236,344.278149,507.740341,0.175647,7.570653,0.004195,0.031342,0.002768,0.405784,-1.385279,3.158117
870,8.7000,0.177350,-0.650892,1.385681,248.467373,344.296598,507.188737,0.175536,7.496392,0.004123,0.030604,0.002735,0.405489,-1.385681,3.223708
880,8.8000,0.177132,-0.642807,1.388454,248.269969,344.711382,505.920914,0.175400,7.405234,0.004043,0.029764,0.002699,0.405800,-1.388454,3.288340
890,8.9000,0.176879,-0.634164,1.387550,248.134937,344.299561,505.281486,0.175241,7.307906,0.003947,0.028796,0.002652,0.404958,-1.387550,3.352244
900,9.0000,0.176602,-0.625465,1.385431,248.111257,343.741116,505.053679,0.175065,7.210089,0.003847,0.027814,0.002603,0.403706,-1.385431,3.415220
910,9.1000,0.176371,-0.620114,1.384166,248.071661,343.372469,504.745566,0.174910,7.150409,0.003786,0.027208,0.002571,0.402810,-1.384166,3.477489
920,9.2000,0.176187,-0.616833,1.383541,248.005801,343.126174,504.363994,0.174781,7.114175,0.003748,0.026836,0.002550,0.402206,-1.383541,3.539332
930,9.3000,0.176038,-0.614575,1.383278,247.921220,342.944063,503.949420,0.174676,7.089415,0.003722,0.026581,0.002535,0.401790,-1.383278,3.600903
940,9.4000,0.175861,-0.606817,1.384662,247.873555,343.221196,503.286494,0.174572,7.001421,0.003646,0.025823,0.002500,0.401789,-1.384662,3.662042
950,9.5000,0.175693,-0.602294,1.386574,247.636368,343.366235,502.159013,0.174460,6.950645,0.003604,0.025395,0.002480,0.401960,-1.386574,3.722510
960,9.6000,0.175482,-0.594967,1.385570,247.522023,342.959129,501.670607,0.174326,6.867860,0.003526,0.024649,0.002441,0.401184,-1.385570,3.782414
970,9.7000,0.175255,-0.587871,1.384037,247.477717,342.518246,501.405354,0.174181,6.787814,0.003451,0.023926,0.002403,0.400223,-1.384037,3.841554
980,9.8000,0.175061,-0.583178,1.383133,247.423753,342.219956,501.080403,0.174051,6.735210,0.003400,0.023449,0.002376,0.399519,-1.383133,3.900101
990,9.9000,0.174900,-0.580034,1.382677,247.353445,342.009876,500.709050,0.173940,6.700202,0.003367,0.023131,0.002358,0.399020,-1.382677,3.958260
1000,10.0000,0.174766,-0.577735,1.382487,247.270653,341.848406,500.317226,0.173846,6.674730,0.003342,0.022899,0.002344,0.398659,-1.382487,4.016149
1010,10.1000,0.174617,-0.571741,1.383464,247.228494,342.031697,499.784319,0.173755,6.606674,0.003286,0.022360,0.002317,0.398602,-1.383464,4.073691
1020,10.2000,0.174480,-0.568369,1.385450,247.020056,342.233883,498.778451,0.173662,6.568804,0.003257,0.022074,0.002302,0.398860,-1.385450,4.130695
1030,10.3000,0.174320,-0.563289,1.385294,246.864507,341.979946,498.166863,0.173558,6.511353,0.003208,0.021606,0.002277,0.398450,-1.385294,4.187321
1040,10.4000,0.174130,-0.556849,1.384086,246.797609,341.589073,497.867922,0.173438,6.438392,0.003143,0.021008,0.002243,0.397667,-1.384086,4.243336
1050,10.5000,0.173954,-0.552016,1.383251,246.738558,341.301379,497.557087,0.173322,6.383870,0.003095,0.020561,0.002218,0.397026,-1.383251,4.298776
1060,10.6000,0.173803,-0.548635,1.382811,246.669657,341.097576,497.207440,0.173219,6.345924,0.003061,0.020251,0.002199,0.396556,-1.382811,4.353808
1070,10.7000,0.173674,-0.546116,1.382609,246.591897,340.940201,496.840416,0.173129,6.317779,0.003036,0.020021,0.002185,0.396204,-1.382609,4.408546
1080,10.8000,0.173559,-0.543367,1.382639,246.513974,340.839878,496.454034,0.173051,6.286859,0.003010,0.019779,0.002171,0.395949,-1.382639,4.463054
1090,10.9000,0.173428,-0.538702,1.384314,246.441562,341.152486,495.801783,0.172969,6.233862,0.002970,0.019405,0.002151,0.396131,-1.384314,4.517115
1100,11.0000,0.173314,-0.536118,1.385626,246.228728,341.180970,494.929805,0.172889,6.204814,0.002948,0.019199,0.002140,0.396244,-1.385626,4.570867
1110,11.1000,0.173171,-0.531355,1.385156,246.105604,340.894684,494.477979,0.172798,6.150752,0.002904,0.018793,0.002116,0.395784,-1.385156,4.624270
1120,11.2000,0.173033,-0.528852,1.383679,245.977305,340.353738,494.217516,0.172700,6.122812,0.002877,0.018556,0.002100,0.395046,-1.383679,4.677208
1130,11.3000,0.173187,-0.560677,1.369487,244.682849,335.090100,494.447029,0.172678,6.490051,0.003127,0.020957,0.002208,0.391342,-1.369487,4.731077
1140,11.4000,0.173939,-0.642376,1.296085,238.193089,308.718458,496.226858,0.172850,7.428989,0.003701,0.027083,0.002417,0.371975,-1.296085,4.790997
1150,11.5000,0.174624,-0.670183,1.144408,223.483047,255.755675,500.539664,0.173074,7.744139,0.003516,0.026451,0.002246,0.329737,-1.144408,4.857212
1160,11.6000,0.174696,-0.587589,0.952922,198.654893,189.302609,499.577421,0.173170,6.789154,0.002366,0.016384,0.001641,0.274677,-0.952922,4.921452
1170,11.7000,0.173922,-0.418725,0.793815,166.311307,132.020426,463.367904,0.173017,4.842586,0.001154,0.006378,0.000965,0.227803,-0.793815,4.972415
1180,11.8000,0.173020,-0.271181,0.701348,135.649029,95.137173,390.654340,0.172841,3.139655,0.000536,0.002161,0.000546,0.200223,-0.701348,5.006712
1190,11.9000,0.172570,-0.187830,0.655071,112.277120,73.549491,320.467934,0.172821,2.175820,0.000302,0.000912,0.000351,0.186526,-0.655071,5.029460
1200,12.0000,0.172461,-0.144226,0.630929,95.574520,60.300691,268.866936,0.172900,1.670937,0.000206,0.000500,0.000259,0.179537,-0.630929,5.045919
1210,12.1000,0.172527,-0.119721,0.615689,83.423846,51.363184,233.226274,0.173025,1.386920,0.000159,0.000329,0.000210,0.175268,-0.615689,5.059094
1220,12.2000,0.172640,-0.103739,0.605201,74.382096,45.016092,208.336520,0.173153,1.201616,0.000131,0.000240,0.000179,0.172395,-0.605201,5.070242
1230,12.3000,0.172807,-0.093688,0.596788,67.448094,40.252216,190.535747,0.173287,1.084979,0.000115,0.000191,0.000160,0.170163,-0.596788,5.080110
1240,12.4000,0.172959,-0.085538,0.589573,61.997160,36.551833,177.330605,0.173414,0.990407,0.000102,0.000156,0.000145,0.168254,-0.589573,5.089082
1250,12.5000,0.173103,-0.079155,0.583637,57.676853,33.662368,167.354900,0.173532,0.916346,0.000092,0.000132,0.000133,0.166698,-0.583637,5.097313
1260,12.6000,0.173271,-0.074906,0.578239,54.184655,31.331662,159.662303,0.173651,0.866972,0.000085,0.000116,0.000125,0.165317,-0.578239,5.105013
1270,12.7000,0.173438,-0.071446,0.572920,51.295578,29.388256,153.522920,0.173770,0.826758,0.000080,0.000105,0.000118,0.163954,-0.572920,5.112338
1280,12.8000,0.173580,-0.068042,0.567982,48.892099,27.769847,148.531905,0.173880,0.787233,0.000075,0.000094,0.000112,0.162674,-0.567982,5.119320
1290,12.9000,0.173716,-0.065229,0.563567,46.891107,26.426273,144.466070,0.173985,0.754569,0.000071,0.000085,0.000106,0.161536,-0.563567,5.125982
1300,13.0000,0.173870,-0.063375,0.559303,45.196802,25.278695,141.098037,0.174092,0.732982,0.000068,0.000080,0.000103,0.160456,-0.559303,5.132410
1310,13.1000,0.174033,-0.062024,0.554843,43.723570,24.259725,138.203454,0.174201,0.717217,0.000066,0.000076,0.000100,0.159326,-0.554843,5.138682
1320,13.2000,0.174182,-0.060561,0.550263,42.424579,23.344684,135.647612,0.174307,0.700175,0.000064,0.000072,0.000097,0.158146,-0.550263,5.144817
1330,13.3000,0.174310,-0.058902,0.545855,41.282703,22.534357,133.390398,0.174406,0.680888,0.000062,0.000067,0.000094,0.156994,-0.545855,5.150795
1340,13.4000,0.174433,-0.057412,0.541723,40.281285,21.821318,131.412042,0.174501,0.663570,0.000059,0.000063,0.000091,0.155915,-0.541723,5.156612
1350,13.5000,0.174566,-0.056376,0.537685,39.389610,21.179210,129.655898,0.174597,0.651481,0.000058,0.000061,0.000089,0.154871,-0.537685,5.162300
1360,13.6000,0.174711,-0.055698,0.533486,38.572093,20.577667,128.038834,0.174696,0.643534,0.000057,0.000059,0.000087,0.153790,-0.533486,5.167903
1370,13.7000,0.174855,-0.055050,0.529043,37.804485,20.000206,126.496618,0.174794,0.635935,0.000055,0.000057,0.000086,0.152634,-0.529043,5.173443
1380,13.8000,0.174984,-0.054174,0.524491,37.080157,19.448210,125.011046,0.174888,0.625718,0.000054,0.000055,0.000084,0.151433,-0.524491,5.178909
1390,13.9000,0.175096,-0.053064,0.520042,36.403373,18.931281,123.599409,0.174977,0.612820,0.000052,0.000052,0.000081,0.150245,-0.520042,5.184275
1400,14.0000,0.175200,-0.051923,0.515813,35.777098,18.454288,122.281725,0.175063,0.599567,0.000051,0.000049,0.000079,0.149111,-0.515813,5.189526
1410,14.1000,0.175306,-0.050968,0.511752,35.195206,18.011223,121.054031,0.175148,0.588462,0.000049,0.000047,0.000077,0.148027,-0.511752,5.194671
1420,14.2000,0.175422,-0.050267,0.507704,34.643812,17.588810,119.886300,0.175234,0.580284,0.000048,0.000045,0.000076,0.146953,-0.507704,5.199733
1430,14.3000,0.175545,-0.049719,0.503534,34.108606,17.174845,118.741106,0.175320,0.573874,0.000047,0.000044,0.000074,0.145848,-0.503534,5.204733
1440,14.4000,0.175665,-0.049154,0.499211,33.581480,16.764228,117.594555,0.175406,0.567273,0.000046,0.000043,0.000073,0.144695,-0.499211,5.209679
1450,14.5000,0.175775,-0.048444,0.494809,33.062487,16.359620,116.445257,0.175489,0.558998,0.000045,0.000041,0.000071,0.143509,-0.494809,5.214562
1460,14.6000,0.175873,-0.047555,0.490459,32.557439,15.968094,115.309863,0.175568,0.548681,0.000044,0.000039,0.000069,0.142326,-0.490459,5.219365
1470,14.7000,0.175959,-0.046553,0.486274,32.073365,15.596458,114.210963,0.175644,0.537067,0.000043,0.000037,0.000067,0.141182,-0.486274,5.224074
1480,14.8000,0.176042,-0.045558,0.482300,31.614109,15.247490,113.164026,0.175717,0.525535,0.000041,0.000035,0.000066,0.140093,-0.482300,5.228681
1490,14.9000,0.176126,-0.044680,0.478498,31.178059,14.918632,112.169283,0.175789,0.515355,0.000040,0.000034,0.000064,0.139055,-0.478498,5.233194
1500,15.0000,0.176217,-0.043965,0.474774,30.759012,14.603587,111.212316,0.175862,0.507049,0.000039,0.000032,0.000062,0.138044,-0.474774,5.237627
1510,15.1000,0.176313,-0.043379,0.471035,30.349355,14.295612,110.272287,0.175935,0.500235,0.000038,0.000031,0.000061,0.137032,-0.471035,5.241995
1520,15.2000,0.176410,-0.042843,0.467228,29.943440,13.990425,109.332146,0.176008,0.493992,0.000037,0.000030,0.000060,0.135999,-0.467228,5.246307
1530,15.3000,0.176505,-0.042277,0.463358,29.539324,13.687276,108.384925,0.176080,0.487412,0.000037,0.000029,0.000059,0.134945,-0.463358,5.250565
1540,15.4000,0.176592,-0.041635,0.459469,29.138527,13.388250,107.434098,0.176149,0.479958,0.000036,0.000028,0.000057,0.133879,-0.459469,5.254763
