c	Rep	h	H_Pex	L_Pex	PP_Pex	Pmax	Pmin
0.148089	5.250474	1.216992	0.000015	0.000081	0.000010	0.300824	-0.963516
0.148346	5.155008	1.199097	0.000014	0.000077	0.000010	0.296924	-0.949376
0.148563	5.021685	1.181164	0.000013	0.000072	0.000009	0.292921	-0.935205
0.148747	4.869036	1.164049	0.000013	0.000066	0.000009	0.289042	-0.921679
0.148952	4.745691	1.147173	0.000012	0.000062	0.000009	0.285252	-0.908342
0.149159	4.626524	1.130215	0.000011	0.000057	0.000008	0.281433	-0.894940
0.149328	4.481618	1.113883	0.000011	0.000053	0.000008	0.277687	-0.882030
0.149483	4.338577	1.098460	0.000010	0.000049	0.000008	0.274134	-0.869840
0.149659	4.223171	1.083377	0.000010	0.000045	0.000007	0.270695	-0.857918
0.149839	4.115586	1.068364	0.000009	0.000042	0.000007	0.267271	-0.846051
0.149992	3.993346	1.053840	0.000009	0.000039	0.000007	0.263914	-0.834569
0.150127	3.867698	1.040108	0.000008	0.000036	0.000006	0.260716	-0.823713
0.150273	3.760177	1.026883	0.000008	0.000034	0.000006	0.257656	-0.813258
0.150431	3.668535	1.013789	0.000007	0.000031	0.000006	0.254645	-0.802907
0.150581	3.575180	1.000869	0.000007	0.000029	0.000006	0.251656	-0.792692
0.150711	3.473184	0.988424	0.000007	0.000027	0.000006	0.248746	-0.782852
0.150830	3.372524	0.976563	0.000006	0.000025	0.000005	0.245961	-0.773474
0.150957	3.284589	0.965079	0.000006	0.000024	0.000005	0.243277	-0.764394
0.151092	3.207864	0.953732	0.000006	0.000022	0.000005	0.240637	-0.755421
0.151225	3.132852	0.942496	0.000006	0.000021	0.000005	0.238016	-0.746536
0.151344	3.053671	0.931518	0.000005	0.000020	0.000005	0.235434	-0.737855
0.151452	2.972414	0.920924	0.000005	0.000018	0.000004	0.232927	-0.729477
0.151558	2.895850	0.910685	0.000005	0.000017	0.000004	0.230502	-0.721380
0.151670	2.827828	0.900648	0.000005	0.000016	0.000004	0.228133	-0.713441
