n,time,c,E,E0,h,u,M,tau,slope,Rep,Pex,Pmax,Pmin,D
0,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
10,0.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
20,0.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
30,0.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
40,0.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
50,0.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
60,0.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
70,0.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
80,0.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
90,0.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
100,1.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
110,1.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
120,1.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
130,1.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
140,1.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
150,1.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
160,1.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
170,1.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
180,1.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
190,1.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
200,2.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
210,2.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
220,2.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
230,2.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
240,2.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
250,2.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
260,2.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
270,2.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
280,2.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
290,2.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
300,3.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
310,3.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
320,3.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
330,3.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
340,3.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
350,3.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
360,3.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
370,3.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
380,3.8000,0.000002,0.000000,0.000000,1.054188,139.983230,147.568631,630.520358,0.034907,0.000000,-0.000000,0.000004,-1.054188,0.000000
390,3.9000,0.000002,0.000000,0.000000,1.782040,155.703754,277.470380,549.130140,0.034907,0.000000,-0.000000,0.000006,-1.782040,0.000000
400,4.0000,0.000002,0.000000,0.000000,2.100372,157.464352,330.733650,503.081877,0.034907,0.000000,-0.000000,0.000007,-2.100372,0.000000
410,4.1000,0.000002,0.000000,0.000000,2.255936,157.892058,356.194310,482.701904,0.034907,0.000000,-0.000000,0.000008,-2.255936,0.000000
420,4.2000,0.000002,0.000000,0.000000,2.335157,158.055044,369.083365,473.118979,0.034907,0.000000,-0.000000,0.000008,-2.335157,0.000000
430,4.3000,0.000002,0.000000,0.000000,2.375866,158.105269,375.636916,468.356548,0.034907,0.000000,-0.000000,0.000008,-2.375866,0.000000
440,4.4000,0.000002,0.000000,0.000000,2.397384,158.138457,379.118671,465.994341,0.034907,0.000000,-0.000000,0.000007,-2.397384,0.000000
450,4.5000,0.000002,0.000000,0.000000,2.408457,158.137360,380.867103,464.721489,0.034907,0.000000,-0.000000,0.000007,-2.408457,0.000000
460,4.6000,0.000002,0.000000,0.000000,2.414488,158.145364,381.840089,464.063197,0.034907,0.000000,-0.000000,0.000007,-2.414488,0.000000
470,4.7000,0.000002,0.000000,0.000000,2.418227,158.189191,382.537416,463.969995,0.034907,0.000000,-0.000000,0.000007,-2.418227,0.000000
480,4.8000,0.000002,0.000000,0.000000,2.419395,158.172367,382.681474,463.758641,0.034907,0.000000,-0.000000,0.000007,-2.419395,0.000000
490,4.9000,0.000002,0.000000,0.000000,2.420014,158.256000,382.981704,464.082306,0.034907,0.000000,-0.000000,0.000007,-2.420014,0.000000
500,5.0000,0.000002,0.000000,0.000000,2.414578,158.380739,382.422696,465.635042,0.034907,0.000000,-0.000000,0.000007,-2.414578,0.000000
510,5.1000,0.000002,0.000000,0.000000,2.391123,159.285990,380.872326,472.967849,0.034907,0.000000,-0.000000,0.000008,-2.391123,0.000000
520,5.2000,0.000921,0.000000,0.000000,2.271436,163.586095,371.575399,409.487550,0.034907,0.000000,-0.000000,0.003452,-2.271436,0.000000
530,5.3000,0.175516,0.000000,-23.107789,2.065642,165.710354,342.298250,565.660439,0.038203,533.455938,2.402486,0.598213,-2.065642,0.048926
540,5.4000,0.209369,0.000000,-27.548870,2.127603,163.193214,347.210440,667.100056,0.034221,609.867829,4.189352,0.734999,-2.127603,0.048926
550,5.5000,0.210082,0.000000,-27.508839,2.153895,162.465467,349.933570,668.839416,0.034221,608.432575,4.243245,0.746615,-2.153895,0.048926
560,5.6000,0.210290,0.000000,-27.486555,2.164351,162.191507,351.039286,669.390205,0.034221,607.779604,4.261177,0.750982,-2.164351,0.048926
570,5.7000,0.210384,0.000000,-27.478291,2.168902,162.078189,351.531763,669.671936,0.034221,607.524142,4.269498,0.752900,-2.168902,0.048926
580,5.8000,0.210430,0.000000,-27.475031,2.171018,162.027786,351.765190,669.817340,0.034221,607.416912,4.273580,0.753798,-2.171018,0.048926
590,5.9000,0.210453,0.000000,-27.473667,2.172043,162.004187,351.880054,669.892797,0.034221,607.369205,4.275638,0.754236,-2.172043,0.048926
600,6.0000,0.210464,0.000000,-27.473070,2.172553,161.992753,351.937903,669.932184,0.034221,607.347088,4.276694,0.754454,-2.172553,0.048926
610,6.1000,0.210470,0.000000,-27.472802,2.172812,161.987084,351.967504,669.952877,0.034221,607.336543,4.277242,0.754566,-2.172812,0.048926
