n,time,c,E,E0,h,u,M,tau,slope,Rep,Pex,Pmax,Pmin,D
0,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
10,0.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
20,0.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
30,0.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
40,0.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
50,0.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
60,0.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
70,0.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
80,0.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
90,0.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
100,1.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
110,1.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
120,1.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
130,1.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
140,1.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
150,1.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
160,1.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
170,1.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
180,1.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
190,1.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
200,2.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
210,2.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
220,2.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
230,2.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
240,2.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
250,2.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
260,2.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
270,2.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
280,2.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
290,2.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
300,3.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
310,3.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
320,3.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
330,3.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
340,3.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
350,3.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
360,3.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
370,3.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
380,3.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
390,3.9000,0.000002,0.000000,0.000000,0.717312,114.138357,81.872834,532.731465,0.034907,0.000000,-0.000000,0.000002,-0.717312,0.000000
400,4.0000,0.000002,0.000000,0.000000,1.687483,145.023614,244.724954,494.645633,0.034907,0.000000,-0.000000,0.000006,-1.687483,0.000000
410,4.1000,0.000002,0.000000,0.000000,2.134529,146.121608,311.900810,428.878790,0.034907,0.000000,-0.000000,0.000007,-2.134529,0.000000
420,4.2000,0.000002,0.000000,0.000000,2.373040,145.586167,345.481838,397.297367,0.034907,0.000000,-0.000000,0.000008,-2.373040,0.000000
430,4.3000,0.000002,0.000000,0.000000,2.503355,145.033584,363.070533,381.030556,0.034907,0.000000,-0.000000,0.000008,-2.503355,0.000000
440,4.4000,0.000002,0.000000,0.000000,2.574279,144.631516,372.321886,372.333050,0.034907,0.000000,-0.000000,0.000008,-2.574279,0.000000
450,4.5000,0.000002,0.000000,0.000000,2.613064,144.392805,377.307615,367.710137,0.034907,0.000000,-0.000000,0.000008,-2.613064,0.000000
460,4.6000,0.000002,0.000000,0.000000,2.633674,144.229662,379.853848,365.141395,0.034907,0.000000,-0.000000,0.000008,-2.633674,0.000000
470,4.7000,0.000002,0.000000,0.000000,2.645469,144.172264,381.403257,363.860238,0.034907,0.000000,-0.000000,0.000008,-2.645469,0.000000
480,4.8000,0.000002,0.000000,0.000000,2.651681,144.137944,382.207807,363.226879,0.034907,0.000000,-0.000000,0.000008,-2.651681,0.000000
490,4.9000,0.000002,0.000000,0.000000,2.654930,144.115089,382.615441,362.855118,0.034907,0.000000,-0.000000,0.000008,-2.654930,0.000000
500,5.0000,0.000002,0.000000,0.000000,2.656731,144.138470,382.937172,362.804163,0.034907,0.000000,-0.000000,0.000008,-2.656731,0.000000
510,5.1000,0.000002,0.000000,0.000000,2.655963,144.194599,382.975511,363.180138,0.034907,0.000000,-0.000000,0.000008,-2.655963,0.000000
520,5.2000,0.000002,0.000000,0.000000,2.650925,144.673237,383.517862,365.265319,0.034907,0.000000,-0.000000,0.000009,-2.650925,0.000000
530,5.3000,0.000002,0.000000,0.000000,2.606608,146.190812,381.062099,378.183697,0.034907,0.000000,-0.000000,0.000007,-2.606608,0.000000
540,5.4000,0.005985,0.000000,0.000000,2.388393,149.681631,357.498504,288.149334,0.034907,0.000000,-0.000000,0.023586,-2.388393,0.000000
550,5.5000,0.179326,0.000000,-21.268040,2.242769,148.517161,333.089678,547.366164,0.037418,488.715851,2.259163,0.663606,-2.242769,0.064488
560,5.6000,0.207929,0.000000,-24.359843,2.363786,144.794834,342.264055,642.922531,0.033775,540.252558,3.617359,0.810973,-2.363786,0.064488
570,5.7000,0.209148,0.000000,-24.201556,2.427852,143.109623,347.448976,651.767523,0.033775,535.915504,3.688973,0.837839,-2.427852,0.064488
580,5.8000,0.209542,0.000000,-24.102686,2.458817,142.288102,349.860444,655.680466,0.033775,533.460761,3.712646,0.850121,-2.458817,0.064488
590,5.9000,0.209719,0.000000,-24.053125,2.473638,141.889090,350.982231,657.576052,0.033775,532.244216,3.722893,0.855970,-2.473638,0.064488
600,6.0000,0.209802,0.000000,-24.028689,2.480734,141.695509,351.508844,658.486844,0.033775,531.647867,3.727489,0.858764,-2.480734,0.064488
610,6.1000,0.209841,0.000000,-24.016680,2.484155,141.601230,351.759335,658.925939,0.033775,531.355735,3.729612,0.860109,-2.484155,0.064488
