n,time,c,E,E0,h,u,M,tau,slope,Rep,Pex,Pmax,Pmin,D
0,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
10,0.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
20,0.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
30,0.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
40,0.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
50,0.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
60,0.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
70,0.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
80,0.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
90,0.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
100,1.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
110,1.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
120,1.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
130,1.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
140,1.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
150,1.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
160,1.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
170,1.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
180,1.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
190,1.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
200,2.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
210,2.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
220,2.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
230,2.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
240,2.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
250,2.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
260,2.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
270,2.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
280,2.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
290,2.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
300,3.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
310,3.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
320,3.2000,0.000002,0.000000,0.000000,0.398357,130.971367,52.173422,578.322307,0.034907,0.000000,-0.000000,0.000001,-0.398357,0.000000
330,3.3000,0.000002,0.000000,0.000000,1.436424,187.997009,270.043457,585.617660,0.034907,0.000000,-0.000000,0.000004,-1.436424,0.000000
340,3.4000,0.000002,0.000000,0.000000,1.944932,191.013222,371.507663,506.382563,0.034907,0.000000,-0.000000,0.000006,-1.944932,0.000000
350,3.5000,0.000002,0.000000,0.000000,2.219068,191.465372,424.874631,472.183420,0.034907,0.000000,-0.000000,0.000007,-2.219068,0.000000
360,3.6000,0.000002,0.000000,0.000000,2.370414,191.573041,454.107418,455.629799,0.034907,0.000000,-0.000000,0.000007,-2.370414,0.000000
370,3.7000,0.000002,0.000000,0.000000,2.455317,191.660055,470.586239,447.197492,0.034907,0.000000,-0.000000,0.000008,-2.455317,0.000000
380,3.8000,0.000002,0.000000,0.000000,2.503819,191.780179,480.182919,443.084294,0.034907,0.000000,-0.000000,0.000008,-2.503819,0.000000
390,3.9000,0.000002,0.000000,0.000000,2.532927,191.940857,486.172201,441.973953,0.034907,0.000000,-0.000000,0.000007,-2.532927,0.000000
400,4.0000,0.000001,0.000000,0.000000,2.552459,192.158605,490.476902,443.189919,0.034907,0.000000,-0.000000,0.000005,-2.552459,0.000000
410,4.1000,0.000001,0.000000,0.000000,2.563751,192.603058,493.786310,446.027572,0.034907,0.000000,-0.000000,0.000004,-2.563751,0.000000
420,4.2000,0.000001,0.000000,0.000000,2.538914,194.441150,493.669379,456.303223,0.034907,0.000000,-0.000000,0.000004,-2.538914,0.000000
430,4.3000,0.009759,0.000000,0.000000,2.290368,201.966303,462.577240,319.608533,0.034907,0.000000,-0.000000,0.036881,-2.290368,0.000000
440,4.4000,0.204340,0.000000,-34.129122,1.978616,207.851781,411.258903,519.375844,0.035185,380.172358,11.721281,0.667113,-1.978616,0.010662
450,4.5000,0.205350,0.000000,-35.059088,1.833788,212.569344,389.807067,511.566053,0.035185,390.035848,11.516677,0.621338,-1.833788,0.010662
460,4.6000,0.203109,0.000000,-35.190545,1.755471,215.488836,378.284324,503.165850,0.035185,392.602435,10.985992,0.588310,-1.755471,0.010662
470,4.7000,0.202077,0.000000,-35.250728,1.720860,216.854551,373.176405,500.220610,0.035185,393.783033,10.751174,0.573782,-1.720860,0.010662
480,4.8000,0.201663,0.000000,-35.276253,1.707064,217.416012,371.143065,499.206884,0.035185,394.272970,10.658431,0.568014,-1.707064,0.010662
490,4.9000,0.201509,0.000000,-35.286773,1.701885,217.631589,370.383941,498.859639,0.035185,394.466640,10.624280,0.565858,-1.701885,0.010662
500,5.0000,0.201455,0.000000,-35.291028,1.700041,217.710210,370.116198,498.745120,0.035185,394.540607,10.612496,0.565095,-1.700041,0.010662
510,5.1000,0.201438,0.000000,-35.292707,1.699427,217.737234,370.028504,498.710590,0.035185,394.567780,10.608774,0.564843,-1.699427,0.010662
520,5.2000,0.201433,0.000000,-35.293348,1.699244,217.745726,370.003149,498.702065,0.035185,394.577226,10.607772,0.564770,-1.699244,0.010662
530,5.3000,0.201433,0.000000,-35.293580,1.699201,217.747976,369.997641,498.701073,0.035185,394.580232,10.607600,0.564753,-1.699201,0.010662
540,5.4000,0.201433,0.000000,-35.293657,1.699198,217.748337,369.997546,498.701736,0.035185,394.581040,10.607632,0.564752,-1.699198,0.010662
550,5.5000,0.201433,0.000000,-35.293680,1.699203,217.748240,369.998422,498.702445,0.035185,394.581176,10.607688,0.564754,-1.699203,0.010662
560,5.6000,0.201433,0.000000,-35.293685,1.699207,217.748099,369.999148,498.702905,0.035185,394.581145,10.607728,0.564756,-1.699207,0.010662
570,5.7000,0.201433,0.000000,-35.293685,1.699210,217.748002,369.999584,498.703153,0.035185,394.581096,10.607751,0.564758,-1.699210,0.010662
580,5.8000,0.201433,0.000000,-35.293684,1.699211,217.747948,369.999810,498.703275,0.035185,394.581063,10.607762,0.564758,-1.699211,0.010662
590,5.9000,0.201433,0.000000,-35.293684,1.699212,217.747921,369.999918,498.703331,0.035185,394.581044,10.607767,0.564759,-1.699212,0.010662
600,6.0000,0.201433,0.000000,-35.293683,1.699212,217.747908,369.999966,498.703355,0.035185,394.581035,10.607770,0.564759,-1.699212,0.010662
610,6.1000,0.201433,0.000000,-35.293683,1.699213,217.747903,369.999987,498.703365,0.035185,394.581031,10.607771,0.564759,-1.699213,0.010662
