n,time,c,E,E0,h,u,M,tau,slope,Rep,Pex,Pmax,Pmin,D
0,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
10,0.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
20,0.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
30,0.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
40,0.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
50,0.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
60,0.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
70,0.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
80,0.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
90,0.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
100,1.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
110,1.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
120,1.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
130,1.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
140,1.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
150,1.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
160,1.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
170,1.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
180,1.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
190,1.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
200,2.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
210,2.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
220,2.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
230,2.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
240,2.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
250,2.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
260,2.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
270,2.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
280,2.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
290,2.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
300,3.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034907,0.000000,0.000000,0.000000,0.000000,0.000000
310,3.1000,0.000002,0.000000,0.000000,0.357195,123.217329,44.012554,476.918669,0.034907,0.000000,-0.000000,0.000001,-0.357195,0.000000
320,3.2000,0.000002,0.000000,0.000000,1.396389,196.496044,274.384848,650.330379,0.034907,0.000000,-0.000000,0.000004,-1.396389,0.000000
330,3.3000,0.000002,0.000000,0.000000,1.863635,201.384944,375.308038,576.534253,0.034907,0.000000,-0.000000,0.000006,-1.863635,0.000000
340,3.4000,0.000002,0.000000,0.000000,2.104482,202.950131,427.104799,546.297701,0.034907,0.000000,-0.000000,0.000006,-2.104482,0.000000
350,3.5000,0.000002,0.000000,0.000000,2.235055,203.700043,455.280722,532.025639,0.034907,0.000000,-0.000000,0.000007,-2.235055,0.000000
360,3.6000,0.000002,0.000000,0.000000,2.307697,204.132781,471.076540,524.763446,0.034907,0.000000,-0.000000,0.000007,-2.307697,0.000000
370,3.7000,0.000002,0.000000,0.000000,2.349068,204.439109,480.241471,521.235750,0.034907,0.000000,-0.000000,0.000008,-2.349068,0.000000
380,3.8000,0.000002,0.000000,0.000000,2.373921,204.695724,485.931572,520.600043,0.034907,0.000000,-0.000000,0.000007,-2.373921,0.000000
390,3.9000,0.000001,0.000000,0.000000,2.390581,204.965472,489.986654,522.583721,0.034907,0.000000,-0.000000,0.000005,-2.390581,0.000000
400,4.0000,0.000001,0.000000,0.000000,2.396838,205.505765,492.564006,527.055954,0.034907,0.000000,-0.000000,0.000004,-2.396838,0.000000
410,4.1000,0.000001,0.000000,0.000000,2.346311,208.077669,488.214986,545.263299,0.034907,0.000000,-0.000000,0.000004,-2.346311,0.000000
420,4.2000,0.080343,0.000000,-12.386951,2.019169,219.637198,443.484576,291.306149,0.036495,159.484507,0.631556,0.267672,-2.019169,0.007954
430,4.3000,0.207619,0.000000,-37.560306,1.786395,224.856519,401.682468,528.033659,0.034722,416.668834,13.009710,0.611969,-1.786395,0.007954
440,4.4000,0.204540,0.000000,-37.713401,1.675896,228.816530,383.472683,520.312852,0.034722,419.992849,12.121708,0.565601,-1.675896,0.007954
450,4.5000,0.202850,0.000000,-37.749112,1.626109,230.750645,375.225589,518.231691,0.034722,421.283613,11.686417,0.544264,-1.626109,0.007954
460,4.6000,0.202149,0.000000,-37.763950,1.606019,231.564175,371.896565,517.791090,0.034722,421.819989,11.511136,0.535682,-1.606019,0.007954
470,4.7000,0.201884,0.000000,-37.770872,1.598411,231.881523,370.642035,517.703877,0.034722,422.037542,11.445748,0.532444,-1.598411,0.007954
480,4.8000,0.201791,0.000000,-37.774222,1.595681,231.998941,370.196220,517.692136,0.034722,422.124282,11.422934,0.531289,-1.595681,0.007954
490,4.9000,0.201761,0.000000,-37.775820,1.594764,232.039997,370.049030,517.695158,0.034722,422.158034,11.415633,0.530905,-1.594764,0.007954
500,5.0000,0.201752,0.000000,-37.776557,1.594488,232.053228,370.005976,517.699361,0.034722,422.170695,11.413623,0.530791,-1.594488,0.007954
510,5.1000,0.201751,0.000000,-37.776883,1.594421,232.056909,369.996369,517.702234,0.034722,422.175189,11.413250,0.530765,-1.594421,0.007954
520,5.2000,0.201751,0.000000,-37.777020,1.594415,232.057610,369.996019,517.703839,0.034722,422.176650,11.413295,0.530763,-1.594415,0.007954
530,5.3000,0.201751,0.000000,-37.777075,1.594421,232.057538,369.997404,517.704641,0.034722,422.177054,11.413397,0.530766,-1.594421,0.007954
540,5.4000,0.201752,0.000000,-37.777095,1.594427,232.057358,369.998589,517.705012,0.034722,422.177127,11.413471,0.530769,-1.594427,0.007954
550,5.5000,0.201752,0.000000,-37.777102,1.594431,232.057225,369.999308,517.705174,0.034722,422.177116,11.413514,0.530771,-1.594431,0.007954
560,5.6000,0.201752,0.000000,-37.777104,1.594433,232.057148,369.999684,517.705240,0.034722,422.177095,11.413535,0.530772,-1.594433,0.007954
570,5.7000,0.201752,0.000000,-37.777105,1.594435,232.057109,369.999864,517.705266,0.034722,422.177080,11.413545,0.530772,-1.594435,0.007954
580,5.8000,0.201752,0.000000,-37.777105,1.594435,232.057091,369.999944,517.705275,0.034722,422.177071,11.413550,0.530772,-1.594435,0.007954
590,5.9000,0.201752,0.000000,-37.777105,1.594435,232.057083,369.999978,517.705279,0.034722,422.177067,11.413552,0.530772,-1.594435,0.007954
600,6.0000,0.201752,0.000000,-37.777105,1.594435,232.057080,369.999992,517.705280,0.034722,422.177065,11.413552,0.530772,-1.594435,0.007954
610,6.1000,0.201752,0.000000,-37.777105,1.594435,232.057079,369.999997,517.705280,0.034722,422.177064,11.413553,0.530772,-1.594435,0.007954
