n,time,c,E,E0,h,u,M,tau,slope,Rep,Pex,Pmax,Pmin,D
0,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261799,0.000000,0.000000,0.000000,0.000000,0.000000
10,0.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261799,0.000000,0.000000,0.000000,0.000000,0.000000
20,0.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261799,0.000000,0.000000,0.000000,0.000000,0.000000
30,0.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261799,0.000000,0.000000,0.000000,0.000000,0.000000
40,0.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261799,0.000000,0.000000,0.000000,0.000000,0.000000
50,0.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261799,0.000000,0.000000,0.000000,0.000000,0.000000
60,0.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261799,0.000000,0.000000,0.000000,0.000000,0.000000
70,0.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261799,0.000000,0.000000,0.000000,0.000000,0.000000
80,0.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261799,0.000000,0.000000,0.000000,0.000000,0.000000
90,0.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261799,0.000000,0.000000,0.000000,0.000000,0.000000
100,1.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261799,0.000000,0.000000,0.000000,0.000000,0.000000
110,1.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261799,0.000000,0.000000,0.000000,0.000000,0.000000
120,1.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261799,0.000000,0.000000,0.000000,0.000000,0.000000
130,1.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261799,0.000000,0.000000,0.000000,0.000000,0.000000
140,1.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261799,0.000000,0.000000,0.000000,0.000000,0.000000
150,1.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261799,0.000000,0.000000,0.000000,0.000000,0.000000
160,1.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261799,0.000000,0.000000,0.000000,0.000000,0.000000
170,1.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261799,0.000000,0.000000,0.000000,0.000000,0.000000
180,1.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261799,0.000000,0.000000,0.000000,0.000000,0.000000
190,1.9000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261799,0.000000,0.000000,0.000000,0.000000,0.000000
200,2.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261799,0.000000,0.000000,0.000000,0.000000,0.000000
210,2.1000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261799,0.000000,0.000000,0.000000,0.000000,0.000000
220,2.2000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261799,0.000000,0.000000,0.000000,0.000000,0.000000
230,2.3000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261799,0.000000,0.000000,0.000000,0.000000,0.000000
240,2.4000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261799,0.000000,0.000000,0.000000,0.000000,0.000000
250,2.5000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261799,0.000000,0.000000,0.000000,0.000000,0.000000
260,2.6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261799,0.000000,0.000000,0.000000,0.000000,0.000000
270,2.7000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261799,0.000000,0.000000,0.000000,0.000000,0.000000
280,2.8000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261799,0.000000,0.000000,0.000000,0.000000,0.000000
290,2.9000,0.000002,0.000000,0.000000,0.174502,67.812625,11.833423,0.000000,0.261799,0.000000,-0.000000,0.000000,-0.174502,0.000000
300,3.0000,0.000002,0.000000,0.000000,1.260836,203.942917,257.138515,745.244843,0.261799,0.000000,-0.000000,0.000004,-1.260836,0.000000
310,3.1000,0.000002,0.000000,0.000000,1.734866,211.380759,366.717360,662.090153,0.261799,0.000000,-0.000000,0.000005,-1.734866,0.000000
